Ward,Searches,Searches which got estimate,Searches for Quotes,Searches which got Quotes,Bookings,Completed Trips,Search-to-estimate Rate,Estimate-to-search for quotes Rate,Quote Acceptance Rate,Quote-to-booking Rate,Cancelled Bookings,Booking Cancellation Rate,Conversion Rate,Drivers' Earnings,Average Distance per Trip (km),Average Fare per Trip,Distance Travelled (km)
Vinayakanagar,564655.0,559717.0,461557.0,280715.0,275406.0,173474.0,0.991,0.825,0.608,0.981,101845.0,0.37,0.307,23202000.0,7.48,133.85,1292724.0
J P Nagar,526581.0,522247.0,423506.0,272513.0,266903.0,172802.0,0.992,0.8109999999999999,0.643,0.9790000000000001,93999.0,0.35200000000000004,0.32799999999999996,21453148.0,6.45,116.66,1186151.0
Whitefield,838663.0,831606.0,684364.0,286103.0,281317.0,170977.0,0.992,0.823,0.418,0.983,110293.0,0.392,0.204,29280129.0,8.52,151.14,1679399.0
Munnekollala,993367.0,983688.0,831207.0,302856.0,297146.0,166505.0,0.99,0.845,0.364,0.981,130590.0,0.44,0.168,29576393.0,9.04,159.13,1687327.0
Ejipura,595161.0,589132.0,496076.0,273619.0,268768.0,163779.0,0.99,0.8420000000000001,0.552,0.982,104902.0,0.39,0.275,21092572.0,6.47,122.29,1148191.0
Jeevanbhima Nagar,658033.0,652625.0,563304.0,269919.0,264220.0,160433.0,0.992,0.863,0.479,0.9790000000000001,103743.0,0.39299999999999996,0.244,24369066.0,8.39,149.77,1367391.0
Kempapura,467690.0,464839.0,360926.0,240038.0,235067.0,150852.0,0.9940000000000001,0.7759999999999999,0.665,0.9790000000000001,84173.0,0.358,0.32299999999999995,22886452.0,8.28,145.63,1322285.0
HSR - Singasandra,633334.0,627352.0,520343.0,255679.0,250108.0,145339.0,0.991,0.8290000000000001,0.491,0.978,104704.0,0.419,0.22899999999999998,21487915.0,7.91,141.29,1209859.0
Shakambari Nagar,404779.0,401530.0,310798.0,215522.0,211098.0,143850.0,0.992,0.774,0.693,0.9790000000000001,67203.0,0.318,0.355,16847054.0,6.29,114.15,935402.0
New Thippasandra,514162.0,509398.0,430195.0,216416.0,212511.0,141334.0,0.991,0.845,0.503,0.982,71126.0,0.335,0.275,20334402.0,7.57,135.66,1138133.0
Hudi,624101.0,619409.0,505072.0,241433.0,237996.0,139066.0,0.993,0.815,0.478,0.986,98878.0,0.415,0.223,24067402.0,8.59,152.37,1376861.0
Ulsoor,591305.0,586928.0,509987.0,234286.0,231034.0,137688.0,0.993,0.8690000000000001,0.45899999999999996,0.986,93291.0,0.40399999999999997,0.233,19496628.0,7.28,132.34,1087433.0
Horamavu,474215.0,471298.0,373096.0,217363.0,213193.0,134402.0,0.9940000000000001,0.792,0.583,0.981,78766.0,0.37,0.28300000000000003,21419228.0,8.54,149.94,1243702.0
C V Raman Nagar,553745.0,549626.0,443121.0,223614.0,220398.0,133108.0,0.993,0.8059999999999999,0.505,0.986,87237.0,0.396,0.24,18927535.0,7.35,132.29,1061714.0
